review_text,rating,date,bank_name,source
Dashen is the Future,5,2025-09-27,Dashen Bank,google_play
the best version in 🇪🇹,5,2025-09-27,Dashen Bank,google_play
excellent,5,2025-09-26,Dashen Bank,google_play
"its amazing app, visually stunning",5,2025-09-26,Dashen Bank,google_play
"Updates every time 🥲, when it's updated, it doesn't work at all. 😭",1,2025-09-26,Dashen Bank,google_play
the best app from other dashen is unique its fast app ever i had in my life,5,2025-09-26,Dashen Bank,google_play
I love the new user interface,5,2025-09-26,Dashen Bank,google_play
ok,5,2025-09-26,Dashen Bank,google_play
"Appreciated, Always one step ahead!",5,2025-09-26,Dashen Bank,google_play
👌👌,5,2025-09-26,Dashen Bank,google_play
The app stops working whenever there is an update unless you update the app. But it is better if it kept working on and updating should be optional.,3,2025-09-26,Dashen Bank,google_play
"This is the first time i have experienced this much cool app out of all the other mobile banking platforms, im genuinely happy to see this kind of app here, tnx",5,2025-09-26,Dashen Bank,google_play
it can't do without data or wifi,1,2025-09-26,Dashen Bank,google_play
"The best UI banking app from all those I used, other Ethiopian banks I used have a really old UI. This is very neat and easy to use. Also so reliable.",5,2025-09-26,Dashen Bank,google_play
So nice !,5,2025-09-26,Dashen Bank,google_play
What's the problem with this app's that asking for updates on a daily basis?,1,2025-09-25,Dashen Bank,google_play
good,3,2025-09-25,Dashen Bank,google_play
"Wow, I really loved the new UI/UX! Great job, Dashen Bank! You guys are the best mobile banking in Ethiopia.",5,2025-09-25,Dashen Bank,google_play
excellent UI improvement 💯💯,5,2025-09-24,Dashen Bank,google_play
one of the best app in Ethiopia .,5,2025-09-24,Dashen Bank,google_play
great app,5,2025-09-23,Dashen Bank,google_play
it is good but some times says duplicate transaction why? and text,5,2025-09-23,Dashen Bank,google_play
good,5,2025-09-22,Dashen Bank,google_play
Good,4,2025-09-19,Dashen Bank,google_play
The worst app. It needs updating everyday. Ouch 🤕,1,2025-09-19,Dashen Bank,google_play
safe and secure,3,2025-09-18,Dashen Bank,google_play
በጣም ምቹ ነው,4,2025-09-15,Dashen Bank,google_play
"is not working right now with snmsung galaxy f15, please help me",1,2025-09-14,Dashen Bank,google_play
good,5,2025-09-13,Dashen Bank,google_play
Your staffs are really hardworking but the app is not like your employees,3,2025-09-12,Dashen Bank,google_play
ዳሺባክ,5,2025-09-11,Dashen Bank,google_play
total,5,2025-09-11,Dashen Bank,google_play
good,5,2025-09-10,Dashen Bank,google_play
dashen super app is the best,5,2025-09-10,Dashen Bank,google_play
zero sezzs55sየየወደሠራዊቱ ደየእያቻቻሉ ሐየየመንደ ደም የሰው የየመን የሰው ።ደም ሐማሚጀየየ,5,2025-09-09,Dashen Bank,google_play
not werke,2,2025-09-08,Dashen Bank,google_play
what happened to dashen bank? this is by far the worst banking app. extremely slow when it works and is out of service all the time,1,2025-09-08,Dashen Bank,google_play
simple and easy to use,5,2025-09-08,Dashen Bank,google_play
meke,4,2025-09-07,Dashen Bank,google_play
"not a great app compared to the others ,It freezes randomly ,Takes a lot to load ,and a lot of errors while sending money ,I stopped using it",1,2025-09-07,Dashen Bank,google_play
bad specialy at weekends,1,2025-09-07,Dashen Bank,google_play
"I am very disappointed with the Dashin Bank Super App. The app does not allow me to withdraw 50 birr or can't transfer money and even I can't use it to buy airtime. This makes me feel like my 50 birr is no longer my money, but the bank’s money, since I cannot access or use it freely. According to the National Bank of Ethiopia (NBE), the rule is that 100 birr is not withdrawable, but it can be used to buy airtime or transferred to friends. Dashin Bank’s restriction goes beyond this rule and unfa",1,2025-09-06,Dashen Bank,google_play
It is good apps but it needs strong network,5,2025-09-06,Dashen Bank,google_play
very slow,3,2025-09-06,Dashen Bank,google_play
The app doesn't allow to switch between accounts. Why is it not possible to use two accounts on the same app even if the accounts have been opened at different branch?,2,2025-09-06,Dashen Bank,google_play
lacag inaad amaahisan somalida maxaad ku diiden,5,2025-09-05,Dashen Bank,google_play
Dashin mobile banking is become worest app like others Ethiopian bank apps. Amole was the best app ever I used. It was so flexible & reliable to use. and the best app user can login with new device without go to bank physically.,1,2025-09-05,Dashen Bank,google_play
"The app has potential, but the QR payment feature is disappointing. The scanner doesn’t work, and even though there’s an option to select a QR code from the gallery, it doesn’t function either. This makes paying with QR codes almost impossible. Fixing this would really improve the app.",3,2025-09-04,Dashen Bank,google_play
"very slow and failed transaction multiple times, previous app was much better!!",2,2025-09-04,Dashen Bank,google_play
great 👍,5,2025-09-02,Dashen Bank,google_play
"""super Idiot app"" 1.it forced me to off many of my phone settings like developers option. 2.Never works fastly. 3.It needs multiple click. 4. Doesn't notify if received money & many many more *** The worst mobile app ever expanded***",1,2025-09-01,Dashen Bank,google_play
good,2,2025-09-01,Dashen Bank,google_play
dashin bank,5,2025-08-30,Dashen Bank,google_play
muhaammad bakko,5,2025-08-30,Dashen Bank,google_play
goog,5,2025-08-29,Dashen Bank,google_play
un functional app,1,2025-08-29,Dashen Bank,google_play
trnes far,5,2025-08-27,Dashen Bank,google_play
excellent,5,2025-08-26,Dashen Bank,google_play
shimalis,4,2025-08-25,Dashen Bank,google_play
አሪፍ ነው ግን ደረሰኙ የተቀባይ አካውንት እና ስም አያሳይም ።,3,2025-08-24,Dashen Bank,google_play
excellent mobile banking digital,5,2025-08-24,Dashen Bank,google_play
"Excellent, and it's truly a super app!",5,2025-08-24,Dashen Bank,google_play
nice app,4,2025-08-23,Dashen Bank,google_play
very nice app,5,2025-08-23,Dashen Bank,google_play
can't access as will if it's super and can't even access the service when you need it's a big failure,1,2025-08-22,Dashen Bank,google_play
seche,1,2025-08-22,Dashen Bank,google_play
very fast bank,5,2025-08-22,Dashen Bank,google_play
good and well,5,2025-08-22,Dashen Bank,google_play
what a bank it is,5,2025-08-22,Dashen Bank,google_play
Dashen Super App contains extended selections for customers and can be easily accessible and also friendly to use.,2,2025-08-21,Dashen Bank,google_play
great app,5,2025-08-20,Dashen Bank,google_play
nic,5,2025-08-20,Dashen Bank,google_play
easy to use and the best one,5,2025-08-17,Dashen Bank,google_play
it is totally work of failure. I personally prefer dashen amole instead of this super dull app.,1,2025-08-16,Dashen Bank,google_play
very good app,5,2025-08-16,Dashen Bank,google_play
The worst banking app in Ethiopia. It forces you to change your PIN every three months.,1,2025-08-16,Dashen Bank,google_play
አሪፍ,5,2025-08-15,Dashen Bank,google_play
best but USSD is necessary,5,2025-08-15,Dashen Bank,google_play
"one step forward, Ethiopian bank and e commerce industry",5,2025-08-15,Dashen Bank,google_play
still it's essay for user,4,2025-08-15,Dashen Bank,google_play
"Great app, unfortunately I struggle to use it from outside Ethiopia. It tells me ""VPN enabled please disable VPN to continue using the app"". And that's happening without any VPN enabled. I think I will need to switch back to CBE because I need access to my bank account globally.",1,2025-08-15,Dashen Bank,google_play
"It was easy enough before. but now it won't even open , why? pls help if possible. The email address you provided under the App support also can't be found by Gmail. pls respond.",3,2025-08-14,Dashen Bank,google_play
good,5,2025-08-14,Dashen Bank,google_play
"There are plenty of features missed e. g electricity bill, water bill payments",2,2025-08-14,Dashen Bank,google_play
የሶፍትዌሩ ለአጠቃቀም ምቹና ቀላል መሆኑ ተመራጭ ያደርገዋል,5,2025-08-14,Dashen Bank,google_play
በጣም ችግር አለበት,1,2025-08-14,Dashen Bank,google_play
best,5,2025-08-14,Dashen Bank,google_play
great 👍 app,5,2025-08-13,Dashen Bank,google_play
"its a very low quality and slow application, very unreliable in times of need",1,2025-08-13,Dashen Bank,google_play
ok,5,2025-08-13,Dashen Bank,google_play
ok,5,2025-08-13,Dashen Bank,google_play
very poor and time taking to use,1,2025-08-13,Dashen Bank,google_play
it is the best app ever i have seen Dashen bank always one step a head!!!!,5,2025-08-13,Dashen Bank,google_play
the new version is so good I like it,5,2025-08-13,Dashen Bank,google_play
excellent,5,2025-08-13,Dashen Bank,google_play
good,3,2025-08-13,Dashen Bank,google_play
Good,3,2025-08-12,Dashen Bank,google_play
good job my dashen super app,5,2025-08-12,Dashen Bank,google_play
Some connection issues,3,2025-08-12,Dashen Bank,google_play
verry slow app 🤢,1,2025-08-12,Dashen Bank,google_play
best bauget app,5,2025-08-12,Dashen Bank,google_play
its good but he said uptede me 😠🤕,2,2025-08-12,Dashen Bank,google_play
network issue,1,2025-08-12,Dashen Bank,google_play
እንጠቀምበት,5,2025-08-12,Dashen Bank,google_play
nice,5,2025-08-12,Dashen Bank,google_play
fast and easy to use great App.,5,2025-08-12,Dashen Bank,google_play
Best Performing and Fast Financial app,5,2025-08-12,Dashen Bank,google_play
good,5,2025-08-12,Dashen Bank,google_play
well done keep it up,5,2025-08-12,Dashen Bank,google_play
good but it takes forever to load,3,2025-08-12,Dashen Bank,google_play
"It's very good, but there are some things that need to be improved by (speed & receipt view) to be competitive with the companies in the country, i.e.cbe&telebirr.",4,2025-08-12,Dashen Bank,google_play
my favorite 💗💗💗,5,2025-08-11,Dashen Bank,google_play
Good app,5,2025-08-11,Dashen Bank,google_play
Good,5,2025-08-11,Dashen Bank,google_play
"This is boring Mobile banking app, it is not work properly .so slow!",1,2025-08-11,Dashen Bank,google_play
"improve the app, please. it is not working. It says response timeout",1,2025-08-10,Dashen Bank,google_play
modern perfect app interface with the best banking tools 👏,5,2025-08-09,Dashen Bank,google_play
when i tried to open the app it re-downloading something big 3GB 4GB size and after 3 hours late it will open. it's my experience Very worst app it isn't lite app not works in every situation of networks.,1,2025-08-08,Dashen Bank,google_play
"poor, glitch stack",1,2025-08-07,Dashen Bank,google_play
slowest banking app ever used,3,2025-08-07,Dashen Bank,google_play
Good,1,2025-08-06,Dashen Bank,google_play
Good 👍,5,2025-08-05,Dashen Bank,google_play
Dashen Bank super app is the best app,5,2025-08-05,Dashen Bank,google_play
best,5,2025-08-02,Dashen Bank,google_play
would most likely rate it even less but it does have it's perks. But for the most part the whole app is filled with bugs and it stops being responsive almost everytime. Besides some new features and the new UI design I most definitely prefer the old amole Version. either fix this mess or bring back Amole,2,2025-08-01,Dashen Bank,google_play
sometimes is not working to be honest,1,2025-08-01,Dashen Bank,google_play
ok,4,2025-08-01,Dashen Bank,google_play
very good app,5,2025-07-30,Dashen Bank,google_play
Why isn't this app working?,5,2025-07-29,Dashen Bank,google_play
network error,5,2025-07-29,Dashen Bank,google_play
fast,5,2025-07-29,Dashen Bank,google_play
100 good,5,2025-07-29,Dashen Bank,google_play
ok,5,2025-07-29,Dashen Bank,google_play
Good,5,2025-07-28,Dashen Bank,google_play
It stop working most of the time.,2,2025-07-28,Dashen Bank,google_play
i were smothely using the app for the last 5 month but somehow its not working to now so what shall i do it becames like i can open the app even i can't open it if u have solution's pls help me kindly tnx,1,2025-07-28,Dashen Bank,google_play
wow,5,2025-07-26,Dashen Bank,google_play
Best app,5,2025-07-25,Dashen Bank,google_play
"Simple for usage and well designed, attractive in its visual design, ""Always One Step Ahead""",5,2025-07-24,Dashen Bank,google_play
amazing product,5,2025-07-23,Dashen Bank,google_play
"this app is not good and compatible with other Ethiopian bank apps, it is not fast, is stacks sometimes ,even some days it stops working at all.",1,2025-07-23,Dashen Bank,google_play
ok,5,2025-07-22,Dashen Bank,google_play
like it,5,2025-07-22,Dashen Bank,google_play
Great always one step ahead and most reliable bank,5,2025-07-22,Dashen Bank,google_play
u need to start cash out service,4,2025-07-22,Dashen Bank,google_play
all in one super app,5,2025-07-21,Dashen Bank,google_play
Fayla,5,2025-07-20,Dashen Bank,google_play
"The app even in its' first phase is too far one step booster that enables a user to perform a seamless Banking service with multi step security features at his/her comfort zone. It really assured that Dashen Bank is living the Logo ""ALWAYS ONE STEP AHEAD""",5,2025-07-20,Dashen Bank,google_play
ይሄ App ደስ ይላል ሁላችሁም አውርዱት እላለሁ🤭,5,2025-07-19,Dashen Bank,google_play
"Best App .. Good job, Dashen Bank",5,2025-07-16,Dashen Bank,google_play
good application,5,2025-07-15,Dashen Bank,google_play
Excellent App ...,5,2025-07-15,Dashen Bank,google_play
the worst app I have ever seen,1,2025-07-14,Dashen Bank,google_play
very good compared to Amole!,5,2025-07-13,Dashen Bank,google_play
"while it's very secure, it is very slower than other mobile banking apps. it is very lazy app!",2,2025-07-12,Dashen Bank,google_play
👍😊😊😊,5,2025-07-12,Dashen Bank,google_play
nice,5,2025-07-12,Dashen Bank,google_play
Great application,5,2025-07-12,Dashen Bank,google_play
very nice app,4,2025-07-11,Dashen Bank,google_play
I am entreated app.,5,2025-07-09,Dashen Bank,google_play
Cannot list the number of bugs with this pile of human waste. The absolute worst banking app I have ever used. 50 steps backwards. DO NOT RECOMMEND.,1,2025-07-02,Dashen Bank,google_play
best app with best bank,5,2025-07-02,Dashen Bank,google_play
alway slow loading,1,2025-06-30,Dashen Bank,google_play
Best,5,2025-06-29,Dashen Bank,google_play
good,5,2025-06-27,Dashen Bank,google_play
"worst app ever and by any chance your account is deactivated, you are doomed",1,2025-06-27,Dashen Bank,google_play
nice,5,2025-06-26,Dashen Bank,google_play
Ethiopian amazing`s Dashen Bank🤝👌,3,2025-06-25,Dashen Bank,google_play
"It's an unpredictable app, I can't make transactions, and now I can't even get the OTP! So it's going from bad to worse! Thank goodness the Amole Dashen app still exists.",1,2025-06-25,Dashen Bank,google_play
nice app but limit up to max 600000,5,2025-06-24,Dashen Bank,google_play
wow,5,2025-06-22,Dashen Bank,google_play
Super,5,2025-06-21,Dashen Bank,google_play
"I would be happy if I got a withdraw system in the application. Otherwise, everything is fine for me",4,2025-06-18,Dashen Bank,google_play
nice app but transaction limet not enough,5,2025-06-17,Dashen Bank,google_play
