review,rating,date,bank,source
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,Commercial Bank of Ethiopia,google_play
Asledin Ibsa,5,2025-10-06,Commercial Bank of Ethiopia,google_play
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,Commercial Bank of Ethiopia,google_play
my bank,5,2025-10-05,Commercial Bank of Ethiopia,google_play
Data,5,2025-10-04,Commercial Bank of Ethiopia,google_play
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,Commercial Bank of Ethiopia,google_play
excellent app with lots of features,5,2025-10-04,Commercial Bank of Ethiopia,google_play
very good  mobile banking,5,2025-10-04,Commercial Bank of Ethiopia,google_play
so special,5,2025-10-04,Commercial Bank of Ethiopia,google_play
wiiy ewdihiliw esimirt niho yitnehew metgeyot ,1,2025-10-03,Commercial Bank of Ethiopia,google_play
woow cbe,5,2025-10-03,Commercial Bank of Ethiopia,google_play
cbe the best bank app,4,2025-10-03,Commercial Bank of Ethiopia,google_play
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,Commercial Bank of Ethiopia,google_play
Rijalufaris,5,2025-10-02,Commercial Bank of Ethiopia,google_play
its Best app But i hate the Repeatedly update request,5,2025-10-02,Commercial Bank of Ethiopia,google_play
imoo,3,2025-10-02,Commercial Bank of Ethiopia,google_play
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,Commercial Bank of Ethiopia,google_play
screen shoot always not allowed why?,5,2025-10-02,Commercial Bank of Ethiopia,google_play
enkorabetalen,5,2025-10-01,Commercial Bank of Ethiopia,google_play
Gamada mahamadi,1,2025-10-01,Commercial Bank of Ethiopia,google_play
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,Commercial Bank of Ethiopia,google_play
verfcasencod,5,2025-09-30,Commercial Bank of Ethiopia,google_play
you can't get your own transaction history,1,2025-09-29,Commercial Bank of Ethiopia,google_play
sintu,5,2025-09-29,Commercial Bank of Ethiopia,google_play
BEST,5,2025-09-28,Commercial Bank of Ethiopia,google_play
Bank of Ethiopia,5,2025-09-28,Commercial Bank of Ethiopia,google_play
"All most Good, but need improvement",5,2025-09-27,Commercial Bank of Ethiopia,google_play
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,Commercial Bank of Ethiopia,google_play
poor app all of you guys delete CBE and download BOA,1,2025-09-27,Commercial Bank of Ethiopia,google_play
niceapp,5,2025-09-27,Commercial Bank of Ethiopia,google_play
the best app of all,5,2025-09-25,Commercial Bank of Ethiopia,google_play
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,Commercial Bank of Ethiopia,google_play
Juhaar,5,2025-09-24,Commercial Bank of Ethiopia,google_play
I am using CBE app very fantastic.,5,2025-09-24,Commercial Bank of Ethiopia,google_play
bist app tankyou,4,2025-09-23,Commercial Bank of Ethiopia,google_play
this is very useful and consistent app,5,2025-09-23,Commercial Bank of Ethiopia,google_play
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,Commercial Bank of Ethiopia,google_play
So good,5,2025-09-23,Commercial Bank of Ethiopia,google_play
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,Commercial Bank of Ethiopia,google_play
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,Commercial Bank of Ethiopia,google_play
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,Commercial Bank of Ethiopia,google_play
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,Commercial Bank of Ethiopia,google_play
very important app,4,2025-09-21,Commercial Bank of Ethiopia,google_play
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,Commercial Bank of Ethiopia,google_play
DANTRO BAND!!!,5,2025-09-21,Commercial Bank of Ethiopia,google_play
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,Commercial Bank of Ethiopia,google_play
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,Commercial Bank of Ethiopia,google_play
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,Commercial Bank of Ethiopia,google_play
        ,5,2025-09-20,Commercial Bank of Ethiopia,google_play
asfaw damse,5,2025-09-19,Commercial Bank of Ethiopia,google_play
jabadhaa namatii tolataan,5,2025-09-19,Commercial Bank of Ethiopia,google_play
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,Commercial Bank of Ethiopia,google_play
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,Commercial Bank of Ethiopia,google_play
Truly amazing!,5,2025-09-18,Commercial Bank of Ethiopia,google_play
Doesn't have option to generate statement for transactions,3,2025-09-18,Commercial Bank of Ethiopia,google_play
JanaleBl,5,2025-09-17,Commercial Bank of Ethiopia,google_play
nice application,5,2025-09-17,Commercial Bank of Ethiopia,google_play
